sport,jednota,url
atletika,Říčany a Radošovice,http://sokolricany.cz/sporty/atletika
cyklistika,Kralupy nad Vltavou,http://www.sokol.kralupy.cz/
orientační závody horských kol,Kralupy nad Vltavou,http://www.sokol.kralupy.cz/
cyklistika,Veltěž,http://www.sokolveltez.cz/index.php?section=cyklistika&page=cyklistika
florbal,Nehvizdy,http://www.tjsokolnehvizdy.estranky.cz/
fotbal,Dolní Beřkovice,http://www.sokoldb.info/fotbal/
fotbal,Mochov,http://sokolmochov.webnode.cz/
fotbal,Ovčáry-Nedomice,http://sokol-ovcary.webnode.cz/
fotbal,Veltěž,http://www.fotbalveltez.cz/
horolezectví,Mšeno u Mělníka,http://www.mestomseno.cz/index.php?cmd=page&id=11
jezdectví,Přívory,http://www.privory.cz/index.php/jezdecky-oddil/jezdecky-oddil-onas
karate,Kostelec n.Lab.,
kuželky,Brandýs n/L.,http://sokolbrandysnl.webnode.cz/oddily/
lední hokej,Mochov,http://hcsokolmochov.sweb.cz/
lední hokej,Přívory,http://www.privory.cz/index.php/sokol-privory/rozvrh-sokolovny
nohejbal,Dolní Beřkovice,http://www.sokoldb.info/nohejbal/
nohejbal,Kostelec n.Lab.,????????
nohejbal,Mochov,http://www.tjsokolmochov.wz.cz/index_soubory/Page429.htm
nohejbal,Mšeno u Mělníka,http://www.mestomseno.cz/index.php?cmd=page&id=11
nohejbal,Stránčice,http://sokol-strancice.webnode.cz/oddily/
plavání,Říčany a Radošovice,http://sokolricany.cz/sporty/plav%C3%A1n%C3%AD
stolní tenis,Dolní Beřkovice,http://www.sokoldb.info/stolni-tenis/
stolní tenis,Kostelec n.Lab.,???????????
stolní tenis,Lysá nad Labem,http://www.sokol-lysa.cz/
stolní tenis,Mratín,http://www.mratin.info/sokol/aktualne
stolní tenis,Mělník-Pšovka,???????????
stolní tenis,Poříčany,http://sokolporicany.cz/oddily/stolni-tenis/
stolní tenis,Pyšely,http://www.tjsokolpysely.estranky.cz/clanky/oddily/stolni-tenis/
stolní tenis,Stříbrná Skalice,http://www.sokolstskalice.estranky.cz/
stolní tenis,Velké Popovice,http://www.sokolvelkepopovice.cz/
stolní tenis,Český Brod,http://sokolbrod.cz/oddily/volejbal/
sál. kopaná,Pyšely,http://www.tjsokolpysely.estranky.cz/clanky/oddily/salova-kopana/
tanec,Lysá nad Labem,http://www.sokol-lysa.cz/
tenis,Cítov,http://www.tjsokolcitov.estranky.cz/
tenis,Dolní Beřkovice,http://www.sokoldb.info/tenis/
tenis,Kostelec n.Lab.,?????????
tenis,Mělník-Pšovka,???????????
tenis,Mšeno u Mělníka,http://www.mestomseno.cz/index.php?cmd=page&id=11
tenis,Nehvizdy,http://www.tjsokolnehvizdy.estranky.cz/
tenis,Stránčice,http://sokol-strancice.webnode.cz/oddily/tenis/
tenis,Velké Popovice,http://www.sokolvelkepopovice.cz/
tenis,Říčany a Radošovice,http://sokolricany.cz/sporty/tenis
volejbal,Brandýs n/L.,http://sokolbrandysnl.webnode.cz/oddily/
volejbal,Dolní Beřkovice,http://www.sokoldb.info/volejbal/
volejbal,Kostelec n.Lab.,??????????
volejbal,Mšeno u Mělníka,http://www.mestomseno.cz/index.php?cmd=page&id=11
volejbal,Poříčany,http://sokolporicany.cz/volejbal/
volejbal,Pyšely,http://www.tjsokolpysely.estranky.cz/clanky/oddily/volejbal/
volejbal,Veltěž,http://www.sokolveltez.cz/
šachy,Brandýs n/L.,http://sokolbrandysnl.webnode.cz/oddily/
šachy,Mšeno u Mělníka,http://www.mestomseno.cz/index.php?cmd=page&id=11